구분,코드,키워드,,,
ATA,0540,TIME LIMITS/MAINTENANCE CHECK - SCHEDULED MAINTENANCE CHECKS,,,
ATA,0541,TIME LIMITS/MAINTENANCE CHECK - SCHEDULED MAINTENANCE CHECKS - ZONAL INSPECTION PROGRAM,,,
ATA,0542,TIME LIMITS/MAINTENANCE CHECK - SCHEDULED MAINTENANCE CHECKS - ENHANCED ZONAL INSPECTION PROGRAM,,,
ATA,0550,TIME LIMITS/MAINTENANCE CHECK - UNSCHEDULED MAINTENANCE CHECKS,,,
ATA,0551,TIME LIMITS/MAINTENANCE CHECK - UNSCHEDULED MAINTENANCE CHECKS - CONDITIONAL INSPECTIONS,,,
ATA,0555,TIME LIMITS/MAINTENANCE CHECK - UNSCHEDULED MAINTENANCE CHECKS - HIRF/LIGHTNING PROTECTION,,,
ATA,0556,TIME LIMITS/MAINTENANCE CHECK - UNSCHEDULED MAINTENANCE CHECKS - LRT (LOOP RESISTANCE TESTER),,,
ATA,0710,LIFTING AND SHORING - JACKING / LIFTING,,,
ATA,0720,LIFTING AND SHORING - SHORING,,,
ATA,0810,LEVELING AND WEIGHING - WEIGHING AND BALANCING,,,
ATA,0820,LEVELING AND WEIGHING - LEVELING,,,
ATA,0910,TOWING AND TAXIING - TOWING,,,
ATA,1010,PARKING AND MOORING - PARKING & STORAGE,,,
ATA,1011,PARKING AND MOORING - PARKING & STORAGE - PARKING,,,
ATA,1012,PARKING AND MOORING - PARKING & STORAGE - STORAGE,,,
ATA,1020,PARKING AND MOORING - MOORING,,,
ATA,1030,PARKING AND MOORING - RETURN TO SERVICE,,,
ATA,1120,PLACARDS AND MARKINGS - EXTERIOR PLACARDS,,,
ATA,1130,PLACARDS AND MARKINGS - INTERIOR PLACARDS,,,
ATA,1210,SERVICING - REPLENISHING / SERVICING,,,
ATA,1211,SERVICING - REPLENISHING / SERVICING - FUEL,,,
ATA,1212,SERVICING - REPLENISHING / SERVICING - HYDRAULIC,,,
ATA,1213,SERVICING - REPLENISHING / SERVICING - OIL,,,
ATA,1214,SERVICING - REPLENISHING / SERVICING - WATER,,,
ATA,1215,SERVICING - REPLENISHING / SERVICING - GASEOUS,,,
ATA,1216,SERVICING - REPLENISHING / SERVICING - WINDOW,,,
ATA,1217,SERVICING - REPLENISHING / SERVICING - LAVATORY,,,
ATA,1218,SERVICING - REPLENISHING / SERVICING - GALLEY,,,
ATA,1220,SERVICING - SCHEDULED SERVICING,,,
ATA,1221,SERVICING - SCHEDULED SERVICING - LUBRICATION,,,
ATA,1222,SERVICING - SCHEDULED SERVICING - OIL CHANGE,,,
ATA,1223,SERVICING - SCHEDULED SERVICING - FILTER IDENTIFICATION,,,
ATA,1224,SERVICING - SCHEDULED SERVICING - DRAINAGE,,,
ATA,1225,SERVICING - SCHEDULED SERVICING - CLEANING AND WASHING,,,
